gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance
KHDRBS3,853.6829641738226,1.808446720949939,0.1094585179851254,16.52175412420341,2.558474641851437e-61,1.7180668914960771e-59,Upregulated
LDHB,343.93339971674976,2.149345053380614,0.13025425532953855,16.50115036889082,3.599691025765211e-61,2.407633981695074e-59,Upregulated
ADAMTS3,168.24892410734054,1.9537953247860664,0.11840697480774064,16.500677666653303,3.627981652161292e-61,2.4169268244636416e-59,Upregulated
C9orf40,368.9026956204118,1.2363869478651794,0.07502672424706466,16.479287350914188,5.169056660825761e-61,3.4164615441709797e-59,Upregulated
AADAT,291.24826358417994,2.0749485794195426,0.1260189126128131,16.46537441403514,6.505885432653004e-61,4.2831688095442595e-59,Upregulated
PHF24,56.700925747056246,2.9107017750985023,0.17692840021053596,16.45129765280708,8.209043235711882e-61,5.3623897992658e-59,Upregulated
PDE7A,2973.177799619518,1.2328257932720381,0.07524057674716887,16.385118862322205,2.4429098905271328e-60,1.5593753324018823e-58,Upregulated
MAP2,1040.1548812710896,2.227685762869607,0.136083117826611,16.370037653810897,3.130202449255126e-60,1.990524193867237e-58,Upregulated
MRAS,2172.807889756513,1.4991090062560095,0.09158667826279958,16.368199335218314,3.226186593827373e-60,2.043819642912224e-58,Upregulated
CYP27C1,87.129261884734,3.0090015512169215,0.18404128409824363,16.349600938508324,4.378379544572006e-60,2.7529676327443758e-58,Upregulated
RASGEF1C,46.66126996267744,3.469929614441258,0.213721656321681,16.23574173137854,2.8182072198893905e-59,1.6777327236703222e-57,Upregulated
ST3GAL6,483.10225394680845,1.5036276383170517,0.09261835018816846,16.23466230247246,2.868220157660042e-59,1.7014727917596037e-57,Upregulated
KBTBD12,36.97170163731088,3.9119368347083503,0.24107968037214864,16.22673810032265,3.2634718639794847e-59,1.9291255511439293e-57,Upregulated
TIGD2,710.9063904815865,1.0800364238311235,0.06683101149298996,16.160707427635007,9.545988906339656e-59,5.58390459092788e-57,Upregulated
MTHFD1L,1312.5869404190744,1.559179872342228,0.0965258594374938,16.152975808020535,1.0821279799490896e-58,6.307904349786568e-57,Upregulated
PELI1,1914.7107931981361,1.288393353119568,0.07980089060991238,16.145099926485425,1.2294923896127482e-58,7.142117036961528e-57,Upregulated
