gene_name,Significance,log2FoldChange,pvalue,padj
PADI2,Upregulated,2.210133986002298,9.234532989762363e-41,1.804765306544011e-39
PRKCA,Upregulated,1.537447247179913,9.469569271452064e-41,1.8485480108039214e-39
DDN,Upregulated,2.4749813845044955,1.0774446536338542e-40,2.0983922094205505e-39
FBN3,Upregulated,3.066752562745802,1.089248046624502e-40,2.1140226828592068e-39
CLDN16,Upregulated,2.7356194368062567,1.1662445713221476e-40,2.2582368931206706e-39
SERPINB7,Upregulated,3.2241925491320056,1.2662007198883856e-40,2.4433307684466916e-39
KIF2C,Upregulated,1.4530504622722262,1.5304440700567393e-40,2.9430807615249185e-39
FDCSP,Upregulated,4.273603418595904,1.8599167137682878e-40,3.5725722872702536e-39
ACBD7,Upregulated,1.8104373560996667,2.149041247409589e-40,4.1232119384585346e-39
MYLK4,Upregulated,1.2610124032742174,2.2009427427451045e-40,4.2179710919183574e-39
CPNE8,Upregulated,1.2473277866627959,2.383081535953161e-40,4.546269639270644e-39
