Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),19/1127,0.0129144434172805,0.3409947761277319,0,0,1.8428202415037969,8.015178850161295,KDM6B;DAXX;PHF1;CHD3;ZBTB4;FER1L6;ESR1;PTHLH;ZBTB2;TAPBP;CLK1;P2RX7;NPAT;CASP8;TERT;POLR2A;SOX15;ATM;TP53
GO_Biological_Process_2023,Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),3/52,0.0138268318255095,0.3409947761277319,0,0,6.366702470461869,27.256771605456493,AKAP12;CORT;MCHR1
GO_Biological_Process_2023,RNA Destabilization (GO:0050779),2/19,0.0142214272565604,0.3409947761277319,0,0,12.189713581767784,51.84291878459182,FTO;FXR2
GO_Biological_Process_2023,RNA-templated DNA Biosynthetic Process (GO:0006278),2/19,0.0142214272565604,0.3409947761277319,0,0,12.189713581767784,51.84291878459182,TERT;WRAP53
GO_Biological_Process_2023,Telomere Maintenance Via Telomerase (GO:0007004),2/19,0.0142214272565604,0.3409947761277319,0,0,12.189713581767784,51.84291878459182,TERT;WRAP53
GO_Biological_Process_2023,Chromatin Organization (GO:0006325),7/268,0.0155201520196394,0.3409947761277319,0,0,2.818399044205496,11.740368066106829,KDM6B;DAXX;RING1;SOX15;PHF1;CHD3;ESR1
GO_Biological_Process_2023,Negative Regulation Of Phosphate Metabolic Process (GO:0045936),2/20,0.0157023000244154,0.3409947761277319,0,0,11.511925538103547,47.81994097445014,CDKN2B;CDKN2A
GO_Biological_Process_2023,Regulation Of Necroptotic Process (GO:0060544),2/20,0.0157023000244154,0.3409947761277319,0,0,11.511925538103547,47.81994097445014,CASP8;CFLAR
GO_Biological_Process_2023,Phosphatidylglycerol Metabolic Process (GO:0046471),2/20,0.0157023000244154,0.3409947761277319,0,0,11.511925538103547,47.81994097445014,SLC27A1;LPCAT1
GO_Biological_Process_2023,Response To ATP (GO:0033198),2/20,0.0157023000244154,0.3409947761277319,0,0,11.511925538103547,47.81994097445014,P2RX7;P2RX4
GO_Biological_Process_2023,Sensory Perception Of Pain (GO:0019233),2/20,0.0157023000244154,0.3409947761277319,0,0,11.511925538103547,47.81994097445014,P2RX7;P2RX4
GO_Biological_Process_2023,Myoblast Differentiation (GO:0045445),2/20,0.0157023000244154,0.3409947761277319,0,0,11.511925538103547,47.81994097445014,TCF7L2;SOX15
GO_Biological_Process_2023,Phosphatidylcholine Metabolic Process (GO:0046470),3/55,0.0160734428203343,0.3409947761277319,0,0,5.998481781376518,24.777250165287395,SLC27A1;LPCAT1;PLB1
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Process (GO:0043065),7/270,0.0161018096876766,0.3409947761277319,0,0,2.7966801586328143,11.546999069552658,CASP8;TNFSF10;ATM;BAK1;CFLAR;ECT2;TP53
GO_Biological_Process_2023,Mitotic DNA Damage Checkpoint Signaling (GO:0044773),3/56,0.0168651371031168,0.3514908732760698,0,0,5.885004965243297,24.025572088647444,BABAM1;ATM;TP53
GO_Biological_Process_2023,Macrophage Differentiation (GO:0030225),2/21,0.017246212306655,0.3538168243537204,0,0,10.905483604298706,44.278038148679634,CASP8;CASP10
GO_Biological_Process_2023,Signal Transduction In Response To DNA Damage (GO:0042770),3/57,0.0176783319481319,0.3571023053522655,0,0,5.775730994152047,23.307474799541204,ATM;MDM4;TP53
GO_Biological_Process_2023,Oligosaccharide Biosynthetic Process (GO:0009312),2/22,0.0188518227411103,0.3646352680327975,0,0,10.359685863874343,41.13982168804639,B3GALT4;MPDU1
GO_Biological_Process_2023,Cellular Response To Topologically Incorrect Protein (GO:0035967),2/22,0.0188518227411103,0.3646352680327975,0,0,10.359685863874343,41.13982168804639,DAXX;BAK1
GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway (GO:0097193),4/105,0.0188843855492994,0.3646352680327975,0,0,4.12928911938813,16.390882237308574,CUL5;ATM;BAK1;TP53
GO_Biological_Process_2023,Positive Regulation Of Proteolysis (GO:0045862),3/59,0.0193693800215382,0.3657475855973484,0,0,5.568890977443609,21.964050223865936,CASP8;BAK1;NKD2
GO_Biological_Process_2023,Monoatomic Cation Transmembrane Transport (GO:0098655),7/281,0.0195800602202251,0.3657475855973484,0,0,2.6828938073934543,10.55247480695797,P2RX7;SLC6A19;SLC6A18;P2RX4;SLC39A7;SLC12A7;SLC6A3
GO_Biological_Process_2023,Entrainment Of Circadian Clock By Photoperiod (GO:0043153),2/23,0.0205178097548268,0.3657475855973484,0,0,9.865868860633258,38.34332443834308,PPP1CB;TP53
GO_Biological_Process_2023,Potassium Ion Homeostasis (GO:0055075),2/23,0.0205178097548268,0.3657475855973484,0,0,9.865868860633258,38.34332443834308,ATP1B2;SLC12A7
GO_Biological_Process_2023,Regulation Of Macromolecule Metabolic Process (GO:0060255),5/162,0.0205949309279079,0.3657475855973484,0,0,3.328703076297601,12.924389736385995,KDM6B;NPAT;DAXX;PTHLH;TAPBP
GO_Biological_Process_2023,Inorganic Cation Transmembrane Transport (GO:0098662),7/284,0.020613344504344,0.3657475855973484,0,0,2.6534296028880866,10.30012713631169,P2RX7;SLC6A19;SLC6A18;P2RX4;SLC39A7;SLC12A7;SLC6A3
GO_Biological_Process_2023,Cellular Response To Salt (GO:1902075),4/109,0.0213409179740703,0.3696821519739373,0,0,3.9711766187956665,15.277628803555434,P2RX7;DAXX;P2RX4;ECT2
